unit,=,ns
SBox_Type,Stage_Num,Switch_Num,Output_Num,Input_Num,Num_Loads,Rise_Delay,Fall_Delay
SB_LC,2,2,7,5,5,0.398675,0.423650
SB_LC,2,2,7,5,6,0.427350,0.449550
SB_LC,2,2,7,5,7,0.456025,0.474525
SB_LC,2,2,7,5,8,0.484700,0.500425
SB_LC,2,2,7,6,1,0.283975,0.320975
SB_LC,2,2,7,6,2,0.312650,0.346875
SB_LC,2,2,7,6,3,0.341325,0.371850
SB_LC,2,2,7,6,4,0.370000,0.397750
SB_LC,2,2,7,6,5,0.398675,0.423650
SB_LC,2,2,7,6,6,0.427350,0.449550
SB_LC,2,2,7,6,7,0.456025,0.474525
SB_LC,2,2,7,6,8,0.484700,0.500425
SB_LC,2,3,0,1,1,0.283975,0.320975
SB_LC,2,3,0,1,2,0.312650,0.346875
SB_LC,2,3,0,1,3,0.341325,0.371850
SB_LC,2,3,0,1,4,0.370000,0.397750
SB_LC,2,3,0,1,5,0.398675,0.423650
SB_LC,2,3,0,1,6,0.427350,0.449550
SB_LC,2,3,0,1,7,0.456025,0.474525
SB_LC,2,3,0,1,8,0.484700,0.500425
SB_LC,2,3,0,2,1,0.283975,0.320975
SB_LC,2,3,0,2,2,0.312650,0.346875
SB_LC,2,3,0,2,3,0.341325,0.371850
SB_LC,2,3,0,2,4,0.370000,0.397750
SB_LC,2,3,0,2,5,0.398675,0.423650
SB_LC,2,3,0,2,6,0.427350,0.449550
SB_LC,2,3,0,2,7,0.456025,0.474525
SB_LC,2,3,0,2,8,0.484700,0.500425
SB_LC,2,3,0,3,1,0.283975,0.320975
SB_LC,2,3,0,3,2,0.312650,0.346875
SB_LC,2,3,0,3,3,0.341325,0.371850
SB_LC,2,3,0,3,4,0.370000,0.397750
SB_LC,2,3,0,3,5,0.398675,0.423650
SB_LC,2,3,0,3,6,0.427350,0.449550
SB_LC,2,3,0,3,7,0.456025,0.474525
SB_LC,2,3,0,3,8,0.484700,0.500425
SB_LC,2,3,0,4,1,0.283975,0.320975
SB_LC,2,3,0,4,2,0.312650,0.346875
SB_LC,2,3,0,4,3,0.341325,0.371850
SB_LC,2,3,0,4,4,0.370000,0.397750
SB_LC,2,3,0,4,5,0.398675,0.423650
SB_LC,2,3,0,4,6,0.427350,0.449550
SB_LC,2,3,0,4,7,0.456025,0.474525
SB_LC,2,3,0,4,8,0.484700,0.500425
SB_LC,2,3,0,5,1,0.283975,0.320975
SB_LC,2,3,0,5,2,0.312650,0.346875
SB_LC,2,3,0,5,3,0.341325,0.371850
SB_LC,2,3,0,5,4,0.370000,0.397750
SB_LC,2,3,0,5,5,0.398675,0.423650
SB_LC,2,3,0,5,6,0.427350,0.449550
SB_LC,2,3,0,5,7,0.456025,0.474525
SB_LC,2,3,0,5,8,0.484700,0.500425
SB_LC,2,3,0,6,1,0.283975,0.320975
SB_LC,2,3,0,6,2,0.312650,0.346875
SB_LC,2,3,0,6,3,0.341325,0.371850
SB_LC,2,3,0,6,4,0.370000,0.397750
SB_LC,2,3,0,6,5,0.398675,0.423650
SB_LC,2,3,0,6,6,0.427350,0.449550
SB_LC,2,3,0,6,7,0.456025,0.474525
SB_LC,2,3,0,6,8,0.484700,0.500425
SB_LC,2,3,1,1,1,0.283975,0.320975
SB_LC,2,3,1,1,2,0.312650,0.346875
SB_LC,2,3,1,1,3,0.341325,0.371850
SB_LC,2,3,1,1,4,0.370000,0.397750
SB_LC,2,3,1,1,5,0.398675,0.423650
SB_LC,2,3,1,1,6,0.427350,0.449550
SB_LC,2,3,1,1,7,0.456025,0.474525
SB_LC,2,3,1,1,8,0.484700,0.500425
SB_LC,2,3,1,2,1,0.283975,0.320975
SB_LC,2,3,1,2,2,0.312650,0.346875
SB_LC,2,3,1,2,3,0.341325,0.371850
SB_LC,2,3,1,2,4,0.370000,0.397750
SB_LC,2,3,1,2,5,0.398675,0.423650
SB_LC,2,3,1,2,6,0.427350,0.449550
SB_LC,2,3,1,2,7,0.456025,0.474525
SB_LC,2,3,1,2,8,0.484700,0.500425
SB_LC,2,3,1,3,1,0.283975,0.320975
SB_LC,2,3,1,3,2,0.312650,0.346875
SB_LC,2,3,1,3,3,0.341325,0.371850
SB_LC,2,3,1,3,4,0.370000,0.397750
SB_LC,2,3,1,3,5,0.398675,0.423650
SB_LC,2,3,1,3,6,0.427350,0.449550
SB_LC,2,3,1,3,7,0.456025,0.474525
SB_LC,2,3,1,3,8,0.484700,0.500425
SB_LC,2,3,1,4,1,0.283975,0.320975
SB_LC,2,3,1,4,2,0.312650,0.346875
SB_LC,2,3,1,4,3,0.341325,0.371850
SB_LC,2,3,1,4,4,0.370000,0.397750
SB_LC,2,3,1,4,5,0.398675,0.423650
SB_LC,2,3,1,4,6,0.427350,0.449550
SB_LC,2,3,1,4,7,0.456025,0.474525
SB_LC,2,3,1,4,8,0.484700,0.500425
SB_LC,2,3,1,5,1,0.283975,0.320975
SB_LC,2,3,1,5,2,0.312650,0.346875
SB_LC,2,3,1,5,3,0.341325,0.371850
SB_LC,2,3,1,5,4,0.370000,0.397750
SB_LC,2,3,1,5,5,0.398675,0.423650
SB_LC,2,3,1,5,6,0.427350,0.449550
SB_LC,2,3,1,5,7,0.456025,0.474525
SB_LC,2,3,1,5,8,0.484700,0.500425
SB_LC,2,3,1,6,1,0.283975,0.320975
SB_LC,2,3,1,6,2,0.312650,0.346875
SB_LC,2,3,1,6,3,0.341325,0.371850
SB_LC,2,3,1,6,4,0.370000,0.397750
SB_LC,2,3,1,6,5,0.398675,0.423650
SB_LC,2,3,1,6,6,0.427350,0.449550
SB_LC,2,3,1,6,7,0.456025,0.474525
SB_LC,2,3,1,6,8,0.484700,0.500425
SB_LC,2,3,2,1,1,0.283975,0.320975
SB_LC,2,3,2,1,2,0.312650,0.346875
SB_LC,2,3,2,1,3,0.341325,0.371850
SB_LC,2,3,2,1,4,0.370000,0.397750
SB_LC,2,3,2,1,5,0.398675,0.423650
SB_LC,2,3,2,1,6,0.427350,0.449550
SB_LC,2,3,2,1,7,0.456025,0.474525
SB_LC,2,3,2,1,8,0.484700,0.500425
SB_LC,2,3,2,2,1,0.283975,0.320975
SB_LC,2,3,2,2,2,0.312650,0.346875
SB_LC,2,3,2,2,3,0.341325,0.371850
SB_LC,2,3,2,2,4,0.370000,0.397750
SB_LC,2,3,2,2,5,0.398675,0.423650
SB_LC,2,3,2,2,6,0.427350,0.449550
SB_LC,2,3,2,2,7,0.456025,0.474525
SB_LC,2,3,2,2,8,0.484700,0.500425
SB_LC,2,3,2,3,1,0.283975,0.320975
SB_LC,2,3,2,3,2,0.312650,0.346875
SB_LC,2,3,2,3,3,0.341325,0.371850
SB_LC,2,3,2,3,4,0.370000,0.397750
SB_LC,2,3,2,3,5,0.398675,0.423650
SB_LC,2,3,2,3,6,0.427350,0.449550
SB_LC,2,3,2,3,7,0.456025,0.474525
SB_LC,2,3,2,3,8,0.484700,0.500425
SB_LC,2,3,2,4,1,0.283975,0.320975
SB_LC,2,3,2,4,2,0.312650,0.346875
SB_LC,2,3,2,4,3,0.341325,0.371850
SB_LC,2,3,2,4,4,0.370000,0.397750
SB_LC,2,3,2,4,5,0.398675,0.423650
SB_LC,2,3,2,4,6,0.427350,0.449550
SB_LC,2,3,2,4,7,0.456025,0.474525
SB_LC,2,3,2,4,8,0.484700,0.500425
SB_LC,2,3,2,5,1,0.283975,0.320975
SB_LC,2,3,2,5,2,0.312650,0.346875
SB_LC,2,3,2,5,3,0.341325,0.371850
SB_LC,2,3,2,5,4,0.370000,0.397750
SB_LC,2,3,2,5,5,0.398675,0.423650
SB_LC,2,3,2,5,6,0.427350,0.449550
SB_LC,2,3,2,5,7,0.456025,0.474525
SB_LC,2,3,2,5,8,0.484700,0.500425
SB_LC,2,3,2,6,1,0.283975,0.320975
SB_LC,2,3,2,6,2,0.312650,0.346875
SB_LC,2,3,2,6,3,0.341325,0.371850
SB_LC,2,3,2,6,4,0.370000,0.397750
SB_LC,2,3,2,6,5,0.398675,0.423650
SB_LC,2,3,2,6,6,0.427350,0.449550
SB_LC,2,3,2,6,7,0.456025,0.474525
SB_LC,2,3,2,6,8,0.484700,0.500425
SB_LC,2,3,3,1,1,0.283975,0.320975
SB_LC,2,3,3,1,2,0.312650,0.346875
SB_LC,2,3,3,1,3,0.341325,0.371850
SB_LC,2,3,3,1,4,0.370000,0.397750
SB_LC,2,3,3,1,5,0.398675,0.423650
SB_LC,2,3,3,1,6,0.427350,0.449550
SB_LC,2,3,3,1,7,0.456025,0.474525
SB_LC,2,3,3,1,8,0.484700,0.500425
SB_LC,2,3,3,2,1,0.283975,0.320975
SB_LC,2,3,3,2,2,0.312650,0.346875
SB_LC,2,3,3,2,3,0.341325,0.371850
SB_LC,2,3,3,2,4,0.370000,0.397750
SB_LC,2,3,3,2,5,0.398675,0.423650
SB_LC,2,3,3,2,6,0.427350,0.449550
SB_LC,2,3,3,2,7,0.456025,0.474525
SB_LC,2,3,3,2,8,0.484700,0.500425
SB_LC,2,3,3,3,1,0.283975,0.320975
SB_LC,2,3,3,3,2,0.312650,0.346875
SB_LC,2,3,3,3,3,0.341325,0.371850
SB_LC,2,3,3,3,4,0.370000,0.397750
SB_LC,2,3,3,3,5,0.398675,0.423650
SB_LC,2,3,3,3,6,0.427350,0.449550
SB_LC,2,3,3,3,7,0.456025,0.474525
SB_LC,2,3,3,3,8,0.484700,0.500425
SB_LC,2,3,3,4,1,0.283975,0.320975
SB_LC,2,3,3,4,2,0.312650,0.346875
SB_LC,2,3,3,4,3,0.341325,0.371850
SB_LC,2,3,3,4,4,0.370000,0.397750
SB_LC,2,3,3,4,5,0.398675,0.423650
SB_LC,2,3,3,4,6,0.427350,0.449550
SB_LC,2,3,3,4,7,0.456025,0.474525
SB_LC,2,3,3,4,8,0.484700,0.500425
SB_LC,2,3,3,5,1,0.283975,0.320975
SB_LC,2,3,3,5,2,0.312650,0.346875
SB_LC,2,3,3,5,3,0.341325,0.371850
SB_LC,2,3,3,5,4,0.370000,0.397750
SB_LC,2,3,3,5,5,0.398675,0.423650
SB_LC,2,3,3,5,6,0.427350,0.449550
SB_LC,2,3,3,5,7,0.456025,0.474525
SB_LC,2,3,3,5,8,0.484700,0.500425
SB_LC,2,3,3,6,1,0.283975,0.320975
SB_LC,2,3,3,6,2,0.312650,0.346875
SB_LC,2,3,3,6,3,0.341325,0.371850
SB_LC,2,3,3,6,4,0.370000,0.397750
SB_LC,2,3,3,6,5,0.398675,0.423650
SB_LC,2,3,3,6,6,0.427350,0.449550
SB_LC,2,3,3,6,7,0.456025,0.474525
SB_LC,2,3,3,6,8,0.484700,0.500425
SB_LC,2,3,4,1,1,0.283975,0.320975
SB_LC,2,3,4,1,2,0.312650,0.346875
SB_LC,2,3,4,1,3,0.341325,0.371850
SB_LC,2,3,4,1,4,0.370000,0.397750
SB_LC,2,3,4,1,5,0.398675,0.423650
SB_LC,2,3,4,1,6,0.427350,0.449550
SB_LC,2,3,4,1,7,0.456025,0.474525
SB_LC,2,3,4,1,8,0.484700,0.500425
SB_LC,2,3,4,2,1,0.283975,0.320975
SB_LC,2,3,4,2,2,0.312650,0.346875
SB_LC,2,3,4,2,3,0.341325,0.371850
SB_LC,2,3,4,2,4,0.370000,0.397750
SB_LC,2,3,4,2,5,0.398675,0.423650
SB_LC,2,3,4,2,6,0.427350,0.449550
SB_LC,2,3,4,2,7,0.456025,0.474525
SB_LC,2,3,4,2,8,0.484700,0.500425
SB_LC,2,3,4,3,1,0.283975,0.320975
SB_LC,2,3,4,3,2,0.312650,0.346875
SB_LC,2,3,4,3,3,0.341325,0.371850
SB_LC,2,3,4,3,4,0.370000,0.397750
SB_LC,2,3,4,3,5,0.398675,0.423650
SB_LC,2,3,4,3,6,0.427350,0.449550
SB_LC,2,3,4,3,7,0.456025,0.474525
SB_LC,2,3,4,3,8,0.484700,0.500425
SB_LC,2,3,4,4,1,0.283975,0.320975
SB_LC,2,3,4,4,2,0.312650,0.346875
SB_LC,2,3,4,4,3,0.341325,0.371850
SB_LC,2,3,4,4,4,0.370000,0.397750
SB_LC,2,3,4,4,5,0.398675,0.423650
SB_LC,2,3,4,4,6,0.427350,0.449550
SB_LC,2,3,4,4,7,0.456025,0.474525
SB_LC,2,3,4,4,8,0.484700,0.500425
SB_LC,2,3,4,5,1,0.283975,0.320975
SB_LC,2,3,4,5,2,0.312650,0.346875
SB_LC,2,3,4,5,3,0.341325,0.371850
SB_LC,2,3,4,5,4,0.370000,0.397750
SB_LC,2,3,4,5,5,0.398675,0.423650
SB_LC,2,3,4,5,6,0.427350,0.449550
SB_LC,2,3,4,5,7,0.456025,0.474525
SB_LC,2,3,4,5,8,0.484700,0.500425
SB_LC,2,3,4,6,1,0.283975,0.320975
SB_LC,2,3,4,6,2,0.312650,0.346875
SB_LC,2,3,4,6,3,0.341325,0.371850
SB_LC,2,3,4,6,4,0.370000,0.397750
SB_LC,2,3,4,6,5,0.398675,0.423650
SB_LC,2,3,4,6,6,0.427350,0.449550
SB_LC,2,3,4,6,7,0.456025,0.474525
SB_LC,2,3,4,6,8,0.484700,0.500425
SB_LC,2,3,5,1,1,0.283975,0.320975
SB_LC,2,3,5,1,2,0.312650,0.346875
SB_LC,2,3,5,1,3,0.341325,0.371850
SB_LC,2,3,5,1,4,0.370000,0.397750
SB_LC,2,3,5,1,5,0.398675,0.423650
SB_LC,2,3,5,1,6,0.427350,0.449550
SB_LC,2,3,5,1,7,0.456025,0.474525
SB_LC,2,3,5,1,8,0.484700,0.500425
SB_LC,2,3,5,2,1,0.283975,0.320975
SB_LC,2,3,5,2,2,0.312650,0.346875
SB_LC,2,3,5,2,3,0.341325,0.371850
SB_LC,2,3,5,2,4,0.370000,0.397750
SB_LC,2,3,5,2,5,0.398675,0.423650
SB_LC,2,3,5,2,6,0.427350,0.449550
SB_LC,2,3,5,2,7,0.456025,0.474525
SB_LC,2,3,5,2,8,0.484700,0.500425
SB_LC,2,3,5,3,1,0.283975,0.320975
SB_LC,2,3,5,3,2,0.312650,0.346875
SB_LC,2,3,5,3,3,0.341325,0.371850
SB_LC,2,3,5,3,4,0.370000,0.397750
SB_LC,2,3,5,3,5,0.398675,0.423650
SB_LC,2,3,5,3,6,0.427350,0.449550
SB_LC,2,3,5,3,7,0.456025,0.474525
SB_LC,2,3,5,3,8,0.484700,0.500425
SB_LC,2,3,5,4,1,0.283975,0.320975
SB_LC,2,3,5,4,2,0.312650,0.346875
SB_LC,2,3,5,4,3,0.341325,0.371850
SB_LC,2,3,5,4,4,0.370000,0.397750
SB_LC,2,3,5,4,5,0.398675,0.423650
SB_LC,2,3,5,4,6,0.427350,0.449550
SB_LC,2,3,5,4,7,0.456025,0.474525
SB_LC,2,3,5,4,8,0.484700,0.500425
SB_LC,2,3,5,5,1,0.283975,0.320975
SB_LC,2,3,5,5,2,0.312650,0.346875
SB_LC,2,3,5,5,3,0.341325,0.371850
SB_LC,2,3,5,5,4,0.370000,0.397750
SB_LC,2,3,5,5,5,0.398675,0.423650
SB_LC,2,3,5,5,6,0.427350,0.449550
SB_LC,2,3,5,5,7,0.456025,0.474525
SB_LC,2,3,5,5,8,0.484700,0.500425
SB_LC,2,3,5,6,1,0.283975,0.320975
SB_LC,2,3,5,6,2,0.312650,0.346875
SB_LC,2,3,5,6,3,0.341325,0.371850
SB_LC,2,3,5,6,4,0.370000,0.397750
SB_LC,2,3,5,6,5,0.398675,0.423650
SB_LC,2,3,5,6,6,0.427350,0.449550
SB_LC,2,3,5,6,7,0.456025,0.474525
SB_LC,2,3,5,6,8,0.484700,0.500425
SB_LC,2,3,6,1,1,0.283975,0.320975
SB_LC,2,3,6,1,2,0.312650,0.346875
SB_LC,2,3,6,1,3,0.341325,0.371850
SB_LC,2,3,6,1,4,0.370000,0.397750
SB_LC,2,3,6,1,5,0.398675,0.423650
SB_LC,2,3,6,1,6,0.427350,0.449550
SB_LC,2,3,6,1,7,0.456025,0.474525
SB_LC,2,3,6,1,8,0.484700,0.500425
SB_LC,2,3,6,2,1,0.283975,0.320975
SB_LC,2,3,6,2,2,0.312650,0.346875
SB_LC,2,3,6,2,3,0.341325,0.371850
SB_LC,2,3,6,2,4,0.370000,0.397750
SB_LC,2,3,6,2,5,0.398675,0.423650
SB_LC,2,3,6,2,6,0.427350,0.449550
SB_LC,2,3,6,2,7,0.456025,0.474525
SB_LC,2,3,6,2,8,0.484700,0.500425
SB_LC,2,3,6,3,1,0.283975,0.320975
SB_LC,2,3,6,3,2,0.312650,0.346875
SB_LC,2,3,6,3,3,0.341325,0.371850
SB_LC,2,3,6,3,4,0.370000,0.397750
SB_LC,2,3,6,3,5,0.398675,0.423650
SB_LC,2,3,6,3,6,0.427350,0.449550
SB_LC,2,3,6,3,7,0.456025,0.474525
SB_LC,2,3,6,3,8,0.484700,0.500425
SB_LC,2,3,6,4,1,0.283975,0.320975
SB_LC,2,3,6,4,2,0.312650,0.346875
SB_LC,2,3,6,4,3,0.341325,0.371850
SB_LC,2,3,6,4,4,0.370000,0.397750
SB_LC,2,3,6,4,5,0.398675,0.423650
SB_LC,2,3,6,4,6,0.427350,0.449550
SB_LC,2,3,6,4,7,0.456025,0.474525
SB_LC,2,3,6,4,8,0.484700,0.500425
SB_LC,2,3,6,5,1,0.283975,0.320975
SB_LC,2,3,6,5,2,0.312650,0.346875
SB_LC,2,3,6,5,3,0.341325,0.371850
SB_LC,2,3,6,5,4,0.370000,0.397750
SB_LC,2,3,6,5,5,0.398675,0.423650
SB_LC,2,3,6,5,6,0.427350,0.449550
SB_LC,2,3,6,5,7,0.456025,0.474525
SB_LC,2,3,6,5,8,0.484700,0.500425
SB_LC,2,3,6,6,1,0.283975,0.320975
SB_LC,2,3,6,6,2,0.312650,0.346875
SB_LC,2,3,6,6,3,0.341325,0.371850
SB_LC,2,3,6,6,4,0.370000,0.397750
SB_LC,2,3,6,6,5,0.398675,0.423650
SB_LC,2,3,6,6,6,0.427350,0.449550
SB_LC,2,3,6,6,7,0.456025,0.474525
SB_LC,2,3,6,6,8,0.484700,0.500425
SB_LC,2,3,7,1,1,0.283975,0.320975
SB_LC,2,3,7,1,2,0.312650,0.346875
SB_LC,2,3,7,1,3,0.341325,0.371850
SB_LC,2,3,7,1,4,0.370000,0.397750
SB_LC,2,3,7,1,5,0.398675,0.423650
SB_LC,2,3,7,1,6,0.427350,0.449550
SB_LC,2,3,7,1,7,0.456025,0.474525
SB_LC,2,3,7,1,8,0.484700,0.500425
SB_LC,2,3,7,2,1,0.283975,0.320975
SB_LC,2,3,7,2,2,0.312650,0.346875
SB_LC,2,3,7,2,3,0.341325,0.371850
SB_LC,2,3,7,2,4,0.370000,0.397750
SB_LC,2,3,7,2,5,0.398675,0.423650
SB_LC,2,3,7,2,6,0.427350,0.449550
SB_LC,2,3,7,2,7,0.456025,0.474525
SB_LC,2,3,7,2,8,0.484700,0.500425
SB_LC,2,3,7,3,1,0.283975,0.320975
SB_LC,2,3,7,3,2,0.312650,0.346875
SB_LC,2,3,7,3,3,0.341325,0.371850
SB_LC,2,3,7,3,4,0.370000,0.397750
SB_LC,2,3,7,3,5,0.398675,0.423650
SB_LC,2,3,7,3,6,0.427350,0.449550
SB_LC,2,3,7,3,7,0.456025,0.474525
SB_LC,2,3,7,3,8,0.484700,0.500425
SB_LC,2,3,7,4,1,0.283975,0.320975
SB_LC,2,3,7,4,2,0.312650,0.346875
SB_LC,2,3,7,4,3,0.341325,0.371850
SB_LC,2,3,7,4,4,0.370000,0.397750
SB_LC,2,3,7,4,5,0.398675,0.423650
SB_LC,2,3,7,4,6,0.427350,0.449550
SB_LC,2,3,7,4,7,0.456025,0.474525
SB_LC,2,3,7,4,8,0.484700,0.500425
SB_LC,2,3,7,5,1,0.283975,0.320975
SB_LC,2,3,7,5,2,0.312650,0.346875
SB_LC,2,3,7,5,3,0.341325,0.371850
SB_LC,2,3,7,5,4,0.370000,0.397750
SB_LC,2,3,7,5,5,0.398675,0.423650
SB_LC,2,3,7,5,6,0.427350,0.449550
SB_LC,2,3,7,5,7,0.456025,0.474525
SB_LC,2,3,7,5,8,0.484700,0.500425
SB_LC,2,3,7,6,1,0.283975,0.320975
SB_LC,2,3,7,6,2,0.312650,0.346875
SB_LC,2,3,7,6,3,0.341325,0.371850
SB_LC,2,3,7,6,4,0.370000,0.397750
SB_LC,2,3,7,6,5,0.398675,0.423650
SB_LC,2,3,7,6,6,0.427350,0.449550
SB_LC,2,3,7,6,7,0.456025,0.474525
SB_LC,2,3,7,6,8,0.484700,0.500425
SB_LC,3,1,0,1,1,0.184075,0.209050
SB_LC,3,1,0,1,2,0.205350,0.231250
SB_LC,3,1,0,1,3,0.225700,0.252525
SB_LC,3,1,0,2,1,0.184075,0.209050
SB_LC,3,1,0,2,2,0.205350,0.231250
SB_LC,3,1,0,2,3,0.225700,0.252525
SB_LC,3,1,0,3,1,0.184075,0.209050
SB_LC,3,1,0,3,2,0.205350,0.231250
SB_LC,3,1,0,3,3,0.225700,0.252525
SB_LC,3,1,1,1,1,0.184075,0.209050
SB_LC,3,1,1,1,2,0.205350,0.231250
SB_LC,3,1,1,1,3,0.225700,0.252525
SB_LC,3,1,1,2,1,0.184075,0.209050
SB_LC,3,1,1,2,2,0.205350,0.231250
SB_LC,3,1,1,2,3,0.225700,0.252525
SB_LC,3,1,1,3,1,0.184075,0.209050
SB_LC,3,1,1,3,2,0.205350,0.231250
SB_LC,3,1,1,3,3,0.225700,0.252525
SB_LC,3,1,2,1,1,0.184075,0.209050
SB_LC,3,1,2,1,2,0.205350,0.231250
SB_LC,3,1,2,1,3,0.225700,0.252525
SB_LC,3,1,2,2,1,0.184075,0.209050
SB_LC,3,1,2,2,2,0.205350,0.231250
SB_LC,3,1,2,2,3,0.225700,0.252525
SB_LC,3,1,2,3,1,0.184075,0.209050
SB_LC,3,1,2,3,2,0.205350,0.231250
SB_LC,3,1,2,3,3,0.225700,0.252525
SB_LC,3,2,0,1,1,0.184075,0.209050
SB_LC,3,2,0,1,2,0.205350,0.231250
SB_LC,3,2,0,1,3,0.225700,0.252525
SB_LC,3,2,0,2,1,0.184075,0.209050
SB_LC,3,2,0,2,2,0.205350,0.231250
SB_LC,3,2,0,2,3,0.225700,0.252525
SB_LC,3,2,0,3,1,0.184075,0.209050
SB_LC,3,2,0,3,2,0.205350,0.231250
SB_LC,3,2,0,3,3,0.225700,0.252525
SB_LC,3,2,1,1,1,0.184075,0.209050
SB_LC,3,2,1,1,2,0.205350,0.231250
SB_LC,3,2,1,1,3,0.225700,0.252525
SB_LC,3,2,1,2,1,0.184075,0.209050
SB_LC,3,2,1,2,2,0.205350,0.231250
SB_LC,3,2,1,2,3,0.225700,0.252525
SB_LC,3,2,1,3,1,0.184075,0.209050
SB_LC,3,2,1,3,2,0.205350,0.231250
SB_LC,3,2,1,3,3,0.225700,0.252525
SB_LC,3,2,2,1,1,0.184075,0.209050
SB_LC,3,2,2,1,2,0.205350,0.231250
SB_LC,3,2,2,1,3,0.225700,0.252525
SB_LC,3,2,2,2,1,0.184075,0.209050
SB_LC,3,2,2,2,2,0.205350,0.231250
SB_LC,3,2,2,2,3,0.225700,0.252525
SB_LC,3,2,2,3,1,0.184075,0.209050
SB_LC,3,2,2,3,2,0.205350,0.231250
SB_LC,3,2,2,3,3,0.225700,0.252525
SB_LC,3,3,0,1,1,0.184075,0.209050
SB_LC,3,3,0,1,2,0.205350,0.231250
SB_LC,3,3,0,1,3,0.225700,0.252525
SB_LC,3,3,0,2,1,0.184075,0.209050
SB_LC,3,3,0,2,2,0.205350,0.231250
SB_LC,3,3,0,2,3,0.225700,0.252525
SB_LC,3,3,0,3,1,0.184075,0.209050
SB_LC,3,3,0,3,2,0.205350,0.231250
SB_LC,3,3,0,3,3,0.225700,0.252525
SB_LC,3,3,1,1,1,0.184075,0.209050
SB_LC,3,3,1,1,2,0.205350,0.231250
SB_LC,3,3,1,1,3,0.225700,0.252525
SB_LC,3,3,1,2,1,0.184075,0.209050
SB_LC,3,3,1,2,2,0.205350,0.231250
SB_LC,3,3,1,2,3,0.225700,0.252525
SB_LC,3,3,1,3,1,0.184075,0.209050
SB_LC,3,3,1,3,2,0.205350,0.231250
SB_LC,3,3,1,3,3,0.225700,0.252525
SB_LC,3,3,2,1,1,0.184075,0.209050
SB_LC,3,3,2,1,2,0.205350,0.231250
SB_LC,3,3,2,1,3,0.225700,0.252525
SB_LC,3,3,2,2,1,0.184075,0.209050
SB_LC,3,3,2,2,2,0.205350,0.231250
SB_LC,3,3,2,2,3,0.225700,0.252525
SB_LC,3,3,2,3,1,0.184075,0.209050
SB_LC,3,3,2,3,2,0.205350,0.231250
SB_LC,3,3,2,3,3,0.225700,0.252525
SB_LC,3,4,0,1,1,0.184075,0.209050
SB_LC,3,4,0,1,2,0.205350,0.231250
SB_LC,3,4,0,1,3,0.225700,0.252525
SB_LC,3,4,0,2,1,0.184075,0.209050
SB_LC,3,4,0,2,2,0.205350,0.231250
SB_LC,3,4,0,2,3,0.225700,0.252525
SB_LC,3,4,0,3,1,0.184075,0.209050
SB_LC,3,4,0,3,2,0.205350,0.231250
SB_LC,3,4,0,3,3,0.225700,0.252525
SB_LC,3,4,1,1,1,0.184075,0.209050
SB_LC,3,4,1,1,2,0.205350,0.231250
SB_LC,3,4,1,1,3,0.225700,0.252525
SB_LC,3,4,1,2,1,0.184075,0.209050
SB_LC,3,4,1,2,2,0.205350,0.231250
SB_LC,3,4,1,2,3,0.225700,0.252525
SB_LC,3,4,1,3,1,0.184075,0.209050
SB_LC,3,4,1,3,2,0.205350,0.231250
SB_LC,3,4,1,3,3,0.225700,0.252525
SB_LC,3,4,2,1,1,0.184075,0.209050
SB_LC,3,4,2,1,2,0.205350,0.231250
SB_LC,3,4,2,1,3,0.225700,0.252525
SB_LC,3,4,2,2,1,0.184075,0.209050
SB_LC,3,4,2,2,2,0.205350,0.231250
SB_LC,3,4,2,2,3,0.225700,0.252525
SB_LC,3,4,2,3,1,0.184075,0.209050
SB_LC,3,4,2,3,2,0.205350,0.231250
SB_LC,3,4,2,3,3,0.225700,0.252525
SB_LC,3,5,0,1,1,0.184075,0.209050
SB_LC,3,5,0,1,2,0.205350,0.231250
SB_LC,3,5,0,1,3,0.225700,0.252525
SB_LC,3,5,0,2,1,0.184075,0.209050
SB_LC,3,5,0,2,2,0.205350,0.231250
SB_LC,3,5,0,2,3,0.225700,0.252525
SB_LC,3,5,0,3,1,0.184075,0.209050
SB_LC,3,5,0,3,2,0.205350,0.231250
SB_LC,3,5,0,3,3,0.225700,0.252525
SB_LC,3,5,1,1,1,0.184075,0.209050
SB_LC,3,5,1,1,2,0.205350,0.231250
SB_LC,3,5,1,1,3,0.225700,0.252525
SB_LC,3,5,1,2,1,0.184075,0.209050
SB_LC,3,5,1,2,2,0.205350,0.231250
SB_LC,3,5,1,2,3,0.225700,0.252525
SB_LC,3,5,1,3,1,0.184075,0.209050
SB_LC,3,5,1,3,2,0.205350,0.231250
SB_LC,3,5,1,3,3,0.225700,0.252525
SB_LC,3,5,2,1,1,0.184075,0.209050
SB_LC,3,5,2,1,2,0.205350,0.231250
SB_LC,3,5,2,1,3,0.225700,0.252525
SB_LC,3,5,2,2,1,0.184075,0.209050
SB_LC,3,5,2,2,2,0.205350,0.231250
SB_LC,3,5,2,2,3,0.225700,0.252525
SB_LC,3,5,2,3,1,0.184075,0.209050
SB_LC,3,5,2,3,2,0.205350,0.231250
SB_LC,3,5,2,3,3,0.225700,0.252525
SB_LC,3,6,0,1,1,0.184075,0.209050
SB_LC,3,6,0,1,2,0.205350,0.231250
SB_LC,3,6,0,1,3,0.225700,0.252525
SB_LC,3,6,0,2,1,0.184075,0.209050
SB_LC,3,6,0,2,2,0.205350,0.231250
